,A,B,compare
270,-500770296,-1461475641,0
271,-1482254916,1302088247,1
272,-822083310,176530246,1
273,-1603830064,-911126503,1
274,2145808846,791142219,0
275,-1295406479,516582810,1
276,1722265010,1108259792,0
277,-797836924,-835492406,0
278,411993098,-916039372,0
279,2098237080,-1902956438,0
280,1419956392,-1211117013,0
281,770043393,-1144494293,0
282,1828222256,817792281,0
283,-1299719534,984589781,1
284,811468672,-747874746,0
285,765219202,994569375,1
286,-531110147,239825096,1
287,1403340056,-1756003849,0
288,1483529502,-1282281420,0
289,494898490,-282691344,0
290,-1827376911,1145689330,1
291,-1723477036,1175259281,1
292,1317471604,-1213003610,0
293,1354449189,-2114820406,0
294,-800758010,359563601,1
295,1806244570,99670979,0
296,-1019410515,-1565641262,0
297,1194918025,1828752876,1
298,1469954735,-756500661,0
299,-1445747334,-662874845,1
300,1529920434,1199047264,0
301,-1617413673,-1378803903,1
302,34240226,1487768805,1
303,-1336138633,1585903830,1
304,1783957190,1747512471,0
305,2082294170,647734973,0
306,-458990179,1314080195,1
307,-418122425,872153021,1
308,1328690391,87568571,0
309,-1905692678,-1555543879,1
310,1873783138,1788515611,0
311,-2145975752,1435558160,1
312,-769741177,1247944475,1
313,-86318311,-1711429376,0
314,-1634042333,353839812,1
315,752654023,1569066972,1
316,-564875055,-2060023539,0
317,-1249086706,552095419,1
318,-1573698914,-1766473786,0
319,687961060,1730442775,1
320,-1773413883,-1693050627,1
321,1867333666,1744877432,0
322,1705567020,403652522,0
323,1796893420,55617440,0
324,-1631356639,-309358642,1
325,1705187056,-508899647,0
326,512627237,1307419031,1
327,-199207050,-1107615364,0
328,-188752676,-574338164,0
329,767043909,-1206902943,0
330,1918806358,640897067,0
331,-1634474242,-1972585386,0
332,-1039896345,-1524491324,0
333,-1746360544,-1300749384,1
334,1441406633,-1081804472,0
335,-722396844,-828853950,0
336,-553306284,-441904723,1
337,-1883748005,801456537,1
338,-832791671,783631958,1
339,1357410142,528170953,0
340,-802869292,1239823131,1
341,-532443084,559147645,1
342,-293256184,1168297947,1
343,1146172628,-2007221085,0
344,94552186,-1659130235,0
345,-1311984069,-1852908113,0
346,-1042485168,-704350731,1
347,-1186291342,1593534147,1
348,-809069552,1711873583,1
349,121144356,997476268,1
350,-420612038,134003467,1
351,-586302432,-318203338,1
352,-108374208,393045166,1
353,2089343428,2135243322,1
354,747773273,-1315595070,0
355,-2007433723,208110149,1
356,1402788595,-2087352964,0
357,-676151065,59769473,1
358,1873994589,1010011881,0
359,-1177042715,-1347181638,0
360,299644557,-237365864,0
361,662365829,77803928,0
362,1971342328,-1452440090,0
363,751503897,-11451622,0
364,-581536385,2112905642,1
365,-634154380,-967196883,0
366,-1172980634,391346388,1
367,181157233,-307417846,0
368,-599824607,-2015921320,0
369,1718784921,1628331143,0
370,-973302454,624843361,1
371,238095719,2075838395,1
372,-614901007,-648552878,0
373,-35264379,-388406522,0
374,-1521134412,162628263,1
375,-735826271,-839957317,0
376,1192782777,1779984561,1
377,-1641590542,-921369368,1
378,-671740932,-1431573036,0
379,1720640513,-85215093,0
380,778895282,712985975,0
381,745437,4026692,1
382,616704174,1801737887,1
383,-1850106274,-704365977,1
384,-1420623684,-1683838653,0
385,-1016303374,489137507,1
386,1260036990,-306673328,0
387,-225799549,-1488823627,0
388,-307203817,-1523515178,0
389,-1461659752,-745320355,1
390,403959734,-1304809728,0
391,95748905,127433820,1
392,-1967966553,-228168971,1
393,857979110,668941982,0
394,2085598833,688755125,0
395,35004854,-1403027640,0
396,-1198860419,-1926495191,0
397,658443167,1363226980,1
398,2048991309,-2023353742,0
399,-184154760,1407494832,1
400,2058377606,317372468,0
401,1327248264,-699581364,0
402,1140662821,-793664070,0
403,1547010403,1979200956,1
404,1664352176,-88498127,0
405,1911259493,2006296991,1
406,1014894779,448691224,0
407,-1071046485,-355477292,1
408,-1911972150,2077606020,1
409,448640067,1202973582,1
410,2095767228,-454585562,0
411,-103139033,-391266061,0
412,-1965468369,222143283,1
413,1631023617,-1789469900,0
414,1745443477,-1357050607,0
415,-300327392,-1517624703,0
416,-1399835584,380895788,1
417,-676277339,168463555,1
418,-1469284811,1187377246,1
419,-510236115,-1245037728,0
420,-383756360,-865130821,0
421,817895462,-1766177853,0
422,1227913531,-793362496,0
423,-924975202,2059959505,1
424,-443221120,878435034,1
425,-1286932870,1508366694,1
426,-1460089586,293073238,1
427,1909749509,788033770,0
428,-1889441953,1363527984,1
429,850099901,-458072036,0
430,-720179165,183010675,1
431,-594562900,-1404853891,0
432,-1410516687,1004647818,1
433,-768342392,1205783937,1
434,355571140,1095911588,1
435,1532109351,-924575298,0
436,-552218374,-1075926341,0
437,602610218,-42785841,0
438,1698121715,-1712139818,0
439,1594215250,-1187199637,0
440,-913402168,-2105421265,0
441,36065742,2028995254,1
442,567005399,-342252037,0
443,-1461671132,-694167024,1
444,546010509,169172217,0
445,-1489889327,1338370963,1
446,1447698319,-46251620,0
447,-215667515,-574710059,0
448,-579729330,-219496143,1
449,-301122244,1467275974,1
450,1098593190,-2035012904,0
451,-1887076049,-2110983148,0
452,-868475884,876276239,1
453,1080146692,2025657158,1
454,1189997721,1446267627,1
455,624432330,-1305611135,0
456,14775562,-124389664,0
457,142151706,1578317271,1
458,-126119286,1165584242,1
459,-940652473,-1013305630,0
460,63476257,1170372481,1
461,-977099201,-1442035663,0
462,714898413,-1134403156,0
463,-1618469721,631223925,1
464,1686779034,-1918036537,0
465,762143194,1766177278,1
466,-883691242,1012653797,1
467,-73037176,-394095393,0
468,-77527237,872338281,1
469,-75404948,-573298558,0
470,364153843,-157803711,0
471,1162705078,-136799436,0
472,797100643,-1074164761,0
473,-583022242,-2044456100,0
474,499181077,-1825510992,0
475,-516039794,1915456303,1
476,-1959007135,1375359868,1
477,808484795,-1417522749,0
478,-1935668675,68760065,1
479,199774781,1249835034,1
480,-249361881,785600838,1
481,176848087,129218152,0
482,267950009,-184630574,0
483,1262496722,2142228436,1
484,1153692096,1216584488,1
485,-211977978,2055747807,1
486,-1243557954,-459069736,1
487,-1416681692,615436962,1
488,1002299335,-719380850,0
489,-1993071555,1033330885,1
490,-1036182528,-1182509012,0
491,91281531,178868948,1
492,-1164081118,-1098460705,1
493,615200642,-853488528,0
494,1559358147,-382740352,0
495,1502584526,1681814722,1
496,1822371328,-2018308895,0
497,-1483962138,1585814379,1
498,-675881724,-317068982,1
499,-148636801,-41455647,1
500,87756173,-1834402246,0
501,1145476598,-2074924801,0
502,-2146042729,1900624001,1
503,-266298840,-99443026,1
504,-351859809,1466267248,1
505,-604714948,646078359,1
506,611260353,1573884363,1
507,-799893111,479595637,1
508,-1020688057,432301078,1
509,1052890959,-761316214,0
510,-16815779,-1708683526,0
511,1004632759,1130343132,1
512,1872372202,-1218410546,0
513,-1515477881,268264781,1
514,-1277589350,-957292455,1
515,2128859768,68261626,0
516,-1517311202,1298770810,1
517,2117109926,-647062727,0
518,631483418,1295682418,1
519,-526491498,746280929,1
520,1671198038,2065227086,1
521,-42903180,-1244294326,0
522,-574686396,-783551392,0
523,300781646,-1642356411,0
524,-1084442958,560161827,1
525,1171672981,674746642,0
526,1758970295,1369051150,0
527,-2021050791,-1793718655,1
528,2001640914,-1160817356,0
529,-1706350443,1321266149,1
530,479716281,2071399561,1
531,1224344888,-795670518,0
532,-1869361349,1538419297,1
533,440737893,1607201137,1
534,1314138319,1206865764,0
535,877895130,-209341210,0
536,-856251886,-1891011552,0
537,1012808410,-1493016976,0
538,1124050573,-891522566,0
539,-1227309391,-1564433206,0
540,1573514697,-4444475,0
541,1307414204,-1746117197,0
542,1622631714,-1346183998,0
543,-2014043497,1834505412,1
544,-1269795419,-484940448,1
545,1070253382,2054903516,1
546,1497267765,1361509798,0
547,-1310882793,1524382801,1
548,-604096548,-1796088126,0
549,-630337845,-1817228309,0
550,154314758,-1923031260,0
551,1049855020,-1271545277,0
552,1065201477,-360029466,0
553,1409219083,-2016762316,0
554,2142389708,-1390064655,0
555,1658315984,-378970955,0
556,1576967471,1146677768,0
557,1277265716,1614097837,1
558,6080035,865205423,1
559,-1188204013,1366751235,1
560,986491060,1915791587,1
561,-1546186646,-1819403746,0
562,1114581092,-165241894,0
563,-1410084740,427303033,1
564,267099884,-317520459,0
565,588930429,-70148698,0
566,-74419726,-1185287658,0
567,344386887,-1256224301,0
568,2145509981,1108752763,0
569,545896276,-159150713,0
570,483998941,-6132616,0
571,385778235,-1332582756,0
572,157207888,392356495,1
573,-1005232340,485232165,1
574,1775576965,-2119809218,0
575,-1064612047,23770151,1
576,2061286976,-916567440,0
577,651094742,2037545464,1
578,-796540244,-653113929,1
579,848795323,-1436585036,0
580,-2017099906,9122966,1
581,-29438552,-507290644,0
582,199410933,-1753887378,0
583,-1729925869,-680133634,1
584,-84144809,-1843411130,0
585,356708583,1019404561,1
586,1546468453,1838046252,1
587,1794240794,1824805264,1
588,1337460906,-2003663640,0
589,811273025,1084980542,1
590,-1689330440,-587705790,1
591,-1890657200,1938004679,1
592,-583408202,1656837666,1
593,963293754,-116996316,0
594,-1557862375,1594892920,1
595,-1242527437,1462071770,1
596,1647675623,822373536,0
597,-1249924984,-529404884,1
598,1445701602,-1907325458,0
599,-1178645122,-1057962176,1
600,674710861,-1795853693,0
601,-622419010,2142695563,1
602,-92404032,-1014411795,0
603,-242753598,-1776078845,0
604,1310254722,2060850705,1
605,-1292993768,-1765311649,0
606,1056115729,1427034595,1
607,-1148956787,-1119231601,1
608,623198232,-1991681466,0
609,-2121376785,937116324,1
610,86526646,-2117823536,0
611,1190431997,2125143633,1
612,-1532373755,-2089639624,0
613,1449638002,-1523335911,0
614,1601394088,1358585942,0
615,105335841,1000508972,1
616,-1638964823,-469771789,1
617,1401786060,-1387787617,0
618,-1129068237,666991533,1
619,1547865303,-883210168,0
620,1372658786,-252079690,0
621,-720158269,902008732,1
622,-2003845374,-994394590,1
623,1620636354,-258348358,0
624,405256846,1025099877,1
625,-1239456132,2044322843,1
626,-1702952571,-1997329565,0
627,-277254863,1595948225,1
628,680740825,-1046124310,0
629,1797152747,-1385563443,0
630,-2141290045,483894595,1
631,-181872241,1325057474,1
632,-1303679797,-377381538,1
633,-489676336,661493594,1
634,-1547692608,1167088253,1
635,-1843717580,898279531,1
636,1145664993,-410902684,0
637,-268610127,1132944084,1
638,-1394762976,-973421833,1
639,1844079672,448169570,0
640,-1139349583,-837696681,1
641,1111181260,1903212411,1
642,-1894834894,74815886,1
643,-844646548,-701351766,1
644,-1168088546,1211888722,1
645,-1488485676,-658175634,1
646,-551075570,-438606045,1
647,-1102326400,-1878135386,0
648,-1383580898,862519514,1
649,-325538946,-1691495069,0
650,-1068331759,2122683495,1
651,-1309820762,-1559829628,0
652,1192397196,-1779420326,0
653,1200012991,1522138102,1
654,-1101125441,-1312256822,0
655,-1278623555,2073204636,1
656,2102509202,-1192328943,0
657,-1275337773,-100781281,1
658,1763918319,-229207164,0
659,1033174212,794841834,0
660,1746063282,2058793029,1
661,1472635730,-1259083253,0
662,1107467990,780469960,0
663,1959787493,-1482281958,0
664,867269027,1496390228,1
665,1689546153,1416647387,0
666,-2085720478,-1692788266,1
667,1461131708,-14843579,0
668,52603204,1337075722,1
669,-1777201980,660689364,1
670,-1272717473,252035532,1
671,1868233904,894152384,0
672,-40503583,2112486631,1
673,-1767964955,-939882341,1
674,-1901960690,2088765467,1
675,644311882,1254495625,1
676,75930911,-965700492,0
677,519315539,-894475875,0
678,-291797279,-114605122,1
679,950819500,-914225278,0
680,1310791443,-1925051134,0
681,1103819385,-113139120,0
682,-390916053,-1115321230,0
683,1777126153,3600558,0
684,-113867859,-1582154879,0
685,-1363591031,-432457380,1
686,-598639854,517934778,1
687,-494574308,125043164,1
688,1935656862,1168053775,0
689,826534633,607089585,0
690,1158424451,-966671115,0
691,1215758837,-763570953,0
692,1567835905,-1673993073,0
693,-1090948225,1225874821,1
694,-385861660,-1508292425,0
695,1479154759,148377199,0
696,-1500927164,-518424328,1
697,-991102404,1909546866,1
698,1795283992,-644487841,0
699,1234821655,-2073615027,0
700,1169701155,-612430475,0
701,1711045544,388814435,0
702,877718731,-91146095,0
703,-934655059,486793240,1
704,1737849756,2100539847,1
705,-907876328,991831790,1
706,1149899192,1472532539,1
707,430104755,-1635015784,0
708,422210887,887390391,1
709,656302395,-1561008571,0
710,744167746,-890071890,0
711,-696314829,-1206768058,0
712,1298467403,-1322077461,0
713,-1084267516,1206526842,1
714,-884267398,-1467379170,0
715,-1528153962,1894158000,1
716,-7456260,-1953756701,0
717,-1950743260,1070528712,1
718,-1877697314,599040900,1
719,171881248,-1964842395,0
720,-282951113,-1782341764,0
721,-1549181741,-2093727978,0
722,-1415848984,1626072981,1
723,-104993195,-1193780845,0
724,-159297570,-1782023547,0
725,-1521557316,-1195469537,1
726,-1228091992,-148455792,1
727,-1734161678,1265577983,1
728,402903145,1592217486,1
729,-675630190,1673592482,1
730,-743642715,342155994,1
731,770719769,140366404,0
732,-372147080,-1683888833,0
733,-877643993,-784164951,1
734,-474848858,-2060688173,0
735,-1627000812,767431494,1
736,-754288036,1258162953,1
737,899471286,-676372856,0
738,-1559127290,370257245,1
739,-413289174,1516720468,1
740,1549339709,-929760817,0
741,-1061754494,-1563335613,0
742,1135955642,-366061885,0
743,-700448075,467926629,1
744,-603363045,1387871354,1
745,1457862454,-2041151324,0
746,1708821699,1352020443,0
747,860203748,-1460635967,0
748,1670163079,294799863,0
749,1994578802,1491716092,0
750,-818287347,220024100,1
751,-567745966,903597478,1
752,-1580958776,1008674430,1
753,1032414739,1035186597,1
754,-2009440883,-2014316766,0
755,-529750034,-111481535,1
756,-1095743128,-1446628721,0
757,1912037849,317890150,0
758,188700050,-58931800,0
759,571664162,-1585189120,0
760,-777137703,-761530088,1
761,130857411,909874117,1
762,-503556380,-70763130,1
763,-1086810797,-1934479586,0
764,1542133883,-2092483461,0
765,-731056554,-1620959270,0
766,-1921628193,-1822169041,1
767,332873992,-348375873,0
768,893336274,-1529780097,0
769,98186502,1485751962,1
770,174905028,1411832646,1
771,-1594397437,1446438922,1
772,1637230959,-543531687,0
773,-676956065,865951670,1
774,1910732021,-705088678,0
775,-965327126,-525265673,1
776,868534611,-345985426,0
777,-900921710,-1321862355,0
778,1615902182,654925084,0
779,2131196324,796286202,0
780,-1841539385,-1067571648,1
781,1465732801,-648524282,0
782,-1046976768,-1772314479,0
783,-216051421,1210389464,1
784,-421990609,-202464846,1
785,1052063929,-896260182,0
786,-739150402,1475272159,1
787,-32026201,-515047514,0
788,-68104085,926373454,1
789,-1084121467,-1884828907,0
790,-1146911912,347046432,1
791,-396277817,-813774765,0
792,1899348875,683218900,0
793,1724011730,511362292,0
794,-365409960,145174982,1
795,-711843928,1610500368,1
796,-1152436256,-781188502,1
797,-1777560935,-209264311,1
798,-622240966,-890976595,0
799,1654421351,447439664,0
800,-822375395,1325412610,1
801,1397329006,-2074568682,0
802,1029150608,1649577209,1
803,-182677046,-1751481211,0
804,1543822672,2137367631,1
805,1976815225,-1867211616,0
806,-1777578609,-1719136433,1
807,-772907572,-652711159,1
808,1359071585,478110840,0
809,1282524885,938089624,0
810,-323675049,1458614825,1
811,-1988586467,1215910572,1
812,195939760,1633047342,1
813,1633210856,1974250724,1
814,1596637259,1079968850,0
815,-1993869354,-1385305874,1
816,940668871,-866459521,0
817,-526399048,1969932722,1
818,-456744339,-1697691965,0
819,191523818,837292586,1
820,1178034026,-376132442,0
821,-142548032,-514362907,0
822,-778252150,-1372283713,0
823,1417898437,556281259,0
824,-846286563,228845255,1
825,1352809115,532296438,0
826,-72263975,949383447,1
827,28461291,1654246645,1
828,1588458428,-2050323346,0
829,-2144438583,-225746629,1
830,1371499176,1414796184,1
831,-1692991854,799059499,1
832,2130854033,1352793182,0
833,-892639539,-1577288445,0
834,823578245,611283274,0
835,-876985856,-147087561,1
836,1193310404,-2050408920,0
837,-1578034406,498988840,1
838,-304785828,-1706685710,0
839,-2001127376,1962527553,1
840,1741368429,-1719322834,0
841,293316838,2025791614,1
842,-550290177,-1780606601,0
843,508470227,-1973557470,0
844,227590723,-1950759032,0
845,-1271290623,1519484817,1
846,1006246271,223098372,0
847,1185321561,1664084412,1
848,527674157,1561901038,1
849,2052054757,-1843714009,0
850,1546433088,11721240,0
851,-2095708410,1398929520,1
852,-1354943928,1425568466,1
853,-1166625966,-1830785266,0
854,-1830110261,-992449300,1
855,784900487,-421596218,0
856,-1032700903,1189924360,1
857,-38037365,-1645696915,0
858,-2111395033,-256503586,1
859,-1130824950,-226133293,1
860,468480428,-945866233,0
861,-102090137,-1860956933,0
862,-1119545442,-823677183,1
863,1176889683,-557926715,0
864,-1890371216,678630246,1
865,-1653715141,-202928236,1
866,193157281,-1329491205,0
867,-1856070645,1648511871,1
868,726308086,-1105366724,0
869,1316445615,1196153539,0
870,879246284,-1747609208,0
871,429678539,-1862650771,0
872,-167124536,-1010711645,0
873,-487850604,1892443076,1
874,1392184117,-1701655052,0
875,-2080594163,1004687151,1
876,-1855053343,-127873711,1
877,-37998069,-1984023033,0
878,689154221,-2033345167,0
879,1763279708,1066839368,0
880,531038259,47438719,0
881,2070375402,-1849134073,0
882,1499078739,1413477157,0
883,1923763895,-1762203065,0
884,-339344611,1588810411,1
885,-55363381,1571544741,1
886,-1172345534,1097901425,1
887,1187500233,-117073407,0
888,-307914161,1658519821,1
889,-1265161977,-1868395662,0
890,565663080,19364445,0
891,-62925117,-1703719389,0
892,699488134,1987108092,1
893,818229393,-796743790,0
894,464243736,-204506743,0
895,2114801464,1793067685,0
896,1946412442,-1251695023,0
897,-117752223,587549118,1
898,-1736582706,-1115964119,1
899,-302575656,-1775912096,0
900,-161421432,-1223280243,0
901,1203493512,-236792517,0
902,-476720102,310545680,1
903,-1340053085,1643429671,1
904,521727954,1642437185,1
905,-2021507031,-592475110,1
906,-1340259340,624297905,1
907,1253532518,-313601264,0
908,1959153961,-998277305,0
909,1430684630,-776388155,0
910,-824632863,-1579867129,0
911,821037547,-1669435454,0
912,56278890,1640493970,1
913,1403311640,-1136265959,0
914,663014890,-118167549,0
915,2079602673,-1567327983,0
916,-1193955792,-1379850043,0
917,116731081,-1027272307,0
918,-399982669,1083556948,1
919,-1739192140,1493558032,1
920,-1245383946,1782798576,1
921,858922595,60417639,0
922,1641312294,-1429873663,0
923,-1461095855,2049406303,1
924,1314936826,-118368468,0
925,1022746218,1402955790,1
926,-146433445,-1539000024,0
927,-1021612626,-1320363596,0
928,-643626614,-1697906080,0
929,-2051712634,-1074417942,1
930,1303266099,1104224451,0
931,-1890718898,981163949,1
932,-476391355,703328713,1
933,-522554525,-238945273,1
934,-201045657,878462426,1
935,1151566962,-994014631,0
936,-130786360,1669975538,1
937,-826173212,-437070022,1
938,1792255432,-219526138,0
939,494675649,1490535635,1
940,-1378717621,-1855563156,0
941,1334581364,313791951,0
942,-1797665075,-264553609,1
943,521423944,-87891058,0
944,952330137,1657262940,1
945,-887565696,-1384987929,0
946,-650305384,-975466853,0
947,824441306,-1301819215,0
948,-1539312725,1803284749,1
949,-449877255,615852047,1
950,173490153,331791611,1
951,1302614568,-703761274,0
952,301382834,1389410598,1
953,1981312872,-1548523100,0
954,77459741,1729097759,1
955,-2117299602,1443106562,1
956,2055202832,165106272,0
957,458241891,-2102350805,0
958,-379360631,1994431720,1
959,-153492768,857050652,1
960,1240200826,-567829677,0
961,2126446214,-995342647,0
962,-1559015907,-2003596421,0
963,1361900976,666114327,0
964,1295502789,-1763888475,0
965,2147248306,817144676,0
966,-917349250,1199590828,1
967,-1776353909,-1753200003,1
968,641465982,-1464880693,0
969,-2030623359,-120905293,1
970,670210018,-1100843755,0
971,131840181,-90605014,0
972,-1631275828,1977976295,1
973,-1325055861,-1370317372,0
974,645263420,1350875804,1
975,341620976,816566553,1
976,-766679722,1936809216,1
977,-434101785,-1225371549,0
978,-261193497,-1149612904,0
979,-938769227,1959278051,1
980,-1136924051,-1250065266,0
981,-1304984590,370125330,1
982,-1252942005,-689296164,1
983,-497228677,1764606790,1
984,-808465268,2019091754,1
985,-1736622487,-1028270841,1
986,-340327684,-1580457952,0
987,1503563751,-430544373,0
988,-1543978162,-860820973,1
989,248751273,1858471784,1
990,1380184959,-312127619,0
